model_code,pcc,vd
IMD_1919.3,-0.025260400657147207,0.07610274012528329
IMD_1919.5,0.04807376447313894,0.08496714289627938
IMD_1919.7,-0.01268350410541712,0.06056540553130241
IMD_1920.1,0.2685147258638225,0.2864275801653122
IMD_1920.3,0.10741680483201785,0.05477107281739957
IMD_1920.5,0.1624302964234191,0.2702778208727097
IMD_1920.7,0.30144842909716246,0.3486111391061997
IMD_1921.1,0.031423523564828804,0.311530448374009
IMD_1921.3,0.1768078322629902,0.30425018804953086
IMD_1921.5,0.10049470697106543,0.36962494986937033
IMD_1921.7,0.1332044193462963,0.3939459099142312
IMD_1922.1,0.4204275468492338,0.8923470662461973
IMD_1922.3,0.4078264637690858,0.6200490489622957
IMD_1922.5,0.4946594970293958,0.4816329970976717
IMD_1922.7,0.5248074677462453,0.2302069261690981
IMD_1923.1,0.2364229336510438,0.507885636407451
IMD_1923.3,0.2579954771742638,0.40420735033185895
IMD_1923.5,0.2644451329120167,0.2231675967392165
IMD_1923.7,0.281991371304169,0.1601642385307115
IMD_1924.1,0.31212566689276416,0.04765279985901838
IMD_1924.3,0.328618808878755,0.052004594578714425
IMD_1924.5,0.28062623677230286,0.10538234211441999
IMD_1924.7,0.21425388270773496,0.5572306921339321
IMD_1925.1,0.2833552638246829,0.638360209131508
IMD_1925.3,0.45249290095850786,0.36279345240619676
IMD_1925.5,0.33790152438267623,0.8654538088681986
IMD_1925.7,0.4596830103215197,0.4403158196451952
IMD_1926.1,0.35571678385024036,0.30456418048908174
IMD_1926.3,0.3066785886929268,0.29108891140987336
IMD_1926.5,0.28714629865898483,0.6307127407597488
IMD_1926.7,0.15811324813572666,0.16279062878658235
IMD_1927.1,0.16086485743774281,0.15312150161117954
IMD_1927.3,0.19901919122001807,0.18823361437172337
IMD_1927.5,0.2266634314003488,0.30428549687714024
IMD_1927.7,0.21481696772743397,0.2784163657888834
IMD_1928.1,-0.009583318783401962,0.2219730424198626
IMD_1928.3,-0.005628737894131923,0.026973168781709522
IMD_1928.5,0.07939300915570448,0.4036790239128588
IMD_1928.7,-0.0402244152130656,0.19308174722523674
IMD_1929.1,0.2756200507160392,0.27478193070078294
IMD_1929.3,0.47296725024971203,0.34164958025598924
IMD_1929.5,0.18264067567906947,0.46275246466780107
IMD_1929.7,0.2716039406528186,0.24673582936907212
IMD_1930.1,0.26201660002669047,0.05781726394124037
IMD_1930.3,0.14088802008124426,0.0143905445533275
IMD_1930.5,0.11278947409492733,0.18889491115040785
IMD_1930.7,0.10758885258579565,0.2095825508636952
IMD_1931.1,0.1457097500496558,0.17488835542682835
IMD_1931.3,0.30477176371082615,0.1890122720528049
IMD_1931.5,0.3701826106722241,0.16517870337482266
IMD_1931.7,0.28651254307577834,0.08988691657070347
IMD_1932.1,0.34947844166585684,0.23720498668047535
IMD_1932.3,0.3249248280165703,0.30442078126576794
IMD_1932.5,0.2640264044257051,0.1815692306866969
IMD_1932.7,0.38538583591201137,0.09956081496569263
IMD_1933.1,0.3342694084962564,0.3429152077580321
IMD_1933.3,0.23774801167594314,0.29204130233772874
IMD_1933.5,0.19325531290859896,0.034355670824133155
IMD_1933.7,0.18771676510795596,0.3517550236130583
IMD_1934.1,0.37785686895178505,0.29810308605058466
IMD_1934.3,0.3620108320991906,0.4455596426091937
IMD_1934.5,0.29698227239128905,0.38253753572328364
IMD_1934.7,0.394869256433789,0.31462617903573786
IMD_1935.1,0.31515964724166007,0.06338242366594693
IMD_1935.3,0.34113141225225,0.0644450552730026
IMD_1935.5,0.3428270624522847,0.06656322553438565
IMD_1935.7,0.17304439435496097,0.22402224614900967
IMD_1936.1,0.3556044980536643,0.7424261520620687
IMD_1936.3,0.41521561432949977,0.818841959070812
IMD_1936.5,0.4724467230570915,0.3576545367952688
IMD_1936.7,0.40970010397793116,0.5957806359049185
IMD_1937.1,0.21737373561898318,0.23331200852333533
IMD_1937.3,0.267362087589528,0.1936089374059342
IMD_1937.5,0.33109106397484894,0.2113849498265885
IMD_1937.7,0.32823545706666324,0.25734269394814
IMD_1938.1,0.3142515175573515,0.3702429229508759
IMD_1938.3,0.19559320017818546,0.828113407443869
IMD_1938.5,0.18737162126108928,0.15521594827283636
IMD_1938.7,0.2699618191444611,0.14451244418729559
IMD_1939.1,0.2366286575676398,0.26583392011628315
IMD_1939.3,0.08942412128383041,0.16182923900590107
IMD_1939.5,0.3033800606029736,0.20867407905564472
IMD_1939.7,0.3002766426623405,0.6135242490719335
IMD_1940.1,0.24014098491683963,0.08509133098838362
IMD_1940.3,0.17900153310164016,0.20663381455657515
IMD_1940.5,0.24374502095511358,0.02438687445404497
IMD_1940.7,0.25691498877857044,0.47340486658928427
IMD_1941.1,0.09268104592006805,0.37966042693758995
IMD_1941.3,0.2277804686970793,0.3846485161414245
IMD_1941.5,0.30841786694935014,0.4329398566117385
IMD_1941.7,0.020517855840513074,0.4321892851224044
IMD_1942.1,0.4540750960443329,0.5361431661873404
IMD_1942.3,0.3796126000030381,0.4656447593002859
IMD_1942.5,0.39104351243389124,0.5135869804649893
IMD_1942.7,0.30913055210170787,0.43915714061551725
IMD_1943.1,0.30772405370286804,0.3809535202027253
IMD_1943.3,0.21568068278965957,0.2884383049250535
IMD_1943.5,0.24601304540790014,0.30068616535672466
IMD_1943.7,0.22429197466734074,0.4785245355606965
IMD_1944.1,0.3656619226789053,0.7226936368942778
IMD_1944.3,0.23413325011301528,0.42329083371167586
IMD_1944.5,0.33822088893948005,0.8106466828585188
IMD_1944.7,0.39546208617750783,0.6089818923473875
IMD_1945.1,-0.25491623273031894,0.46655846854388416
IMD_1945.3,0.11583016043139928,0.4029985191458434
IMD_1945.5,0.12684512268548687,0.41988600512683094
IMD_1945.7,-0.04381969105675348,0.46752340813815296
IMD_1946.1,0.38151509479103374,0.2325556872566441
IMD_1946.3,0.41873621955840185,0.25981262309152875
IMD_1946.5,0.29418183347196003,0.38601464016039166
IMD_1946.7,0.4370129309080306,0.33975145203668866
IMD_1947.1,0.15922127262994026,0.034156958780610425
IMD_1947.3,0.11261118734196457,0.2726776197334887
IMD_1947.5,0.0983430593481816,0.15977040978463874
IMD_1947.7,0.05128357136390017,0.7712953493216871
IMD_1948.1,0.2785731827072609,0.5310123459600047
IMD_1948.3,0.28137841672804204,0.684804593136175
IMD_1948.5,0.2772661600333164,0.7797531717620925
IMD_1948.7,0.25531209313682934,0.5513732926152781
IMD_1949.1,0.3129669926842797,0.6782875893306113
IMD_1949.3,0.12930669561293076,0.6543851134967185
IMD_1949.5,0.15621439078589758,0.52553317822927
IMD_1949.7,0.28328416664087847,0.5639804539870596
IMD_1950.1,-0.01768266262819695,0.6945341629269028
IMD_1950.3,0.13934133102619897,0.8636289266230965
IMD_1950.5,-0.1101081115056544,0.642224202800026
IMD_1950.7,0.08335811164050064,0.6530475420238877
IMD_1951.1,0.08517514919668935,0.32875532015108566
IMD_1951.3,0.08062141003559155,0.1881869147612999
IMD_1951.5,-0.1340116983353608,0.17327875002169113
IMD_1951.7,0.03210933649212313,0.18345126612925033
IMD_1952.1,0.0028997974388810326,0.49597344552710465
IMD_1952.3,-0.05201595764520347,0.22966926550105027
IMD_1952.5,0.20871904851842168,0.3997111544533055
IMD_1952.7,-0.23261126604650462,0.4888014272375386
IMD_1953.1,0.18566336920595872,0.16214335662969348
IMD_1953.3,0.16211953742598373,0.3000077079022765
IMD_1953.5,0.15891219051566238,0.43796489340909717
IMD_1953.7,0.1340403924366684,0.20963228447088
IMD_1954.1,0.009442593388876989,0.2873855667043478
IMD_1954.3,0.13299491007243547,0.3405485587049276
IMD_1954.5,-0.058051086108745556,0.3905017511773855
IMD_1954.7,0.1132325809903667,0.3177537159848959
IMD_1955.1,0.2599005350260508,0.38315253559548845
IMD_1955.3,0.2198957700117527,0.4899623006959676
IMD_1955.5,0.2331252577457154,0.665166130699706
IMD_1955.7,0.29786616504399605,0.4551510721822499
IMD_1956.1,0.24138845263423842,0.2970870903342705
IMD_1956.3,0.08654648337267899,0.45779982419905474
IMD_1956.5,0.21147811713425702,0.09723346146044543
IMD_1956.7,0.19975006277247245,0.3284220567553978
IMD_1957.1,0.0015465624144705079,0.08610647317553832
IMD_1957.3,0.20081785770800759,0.07834591862346008
IMD_1957.5,0.11779603166950668,0.04388657811497376
IMD_1957.7,0.09296175134031197,0.13360463973666503
IMD_1958.1,0.22212918110405142,0.5518186658735492
IMD_1958.3,0.20803043193696813,0.21047395170881533
IMD_1958.5,0.28804002732864553,0.40034335554792666
