# Stenni.Talos_Dome.2002
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-TalosDome.Stenni.2002.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-TalosDome.Stenni.2002.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/2465
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: glacier ice
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Stenni.Talos_Dome.2002
#------------------
# Investigators
#     Investigators: Stenni, B.;Proposito, M.;Gragnani, R.;Flora, O.;Jouzel, J.;Falourd, S.;Frezzotti, M.
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Stenni, B.;Proposito, M.;Gragnani, R.;Flora, O.;Jouzel, J.;Falourd, S.;Frezzotti, M.
#     Published_Date_or_Year: 2002
#     Published_Title: Eight centuries of volcanic signal and climate change at Talos Dome (East Antarctica)
#     Journal_Name: Journal of Geophysical Research: Atmospheres
#     Volume: 107
#     Edition: 
#     Issue: D9
#     Pages: ACL3/1-3/13
#     Report: 
#     DOI: 10.1029/2000JD000317
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Talos Dome
#     Location: 
#     Country: 
#     Northernmost_Latitude: -72.8
#     Southernmost_Latitude: -72.8
#     Easternmost_Longitude: 159.06
#     Westernmost_Longitude: 159.06
#     Elevation: 2316
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1232.0
#     Most_Recent_Year: 1995.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , glacier ice, ,,N,   
##dD	,melted ice, ,permil, 1 2 3 4 5 6 7 8 9 10 11 12, glacier ice, deviation of deuterium isotope ratio 2H:1H in H2O sample compared to standard mean ocean water (V-SMOW), mass spectrometer, N,  ; climateInterpretation_seasonality changed - was originally Mean annual values; archiveType changed - was originally ice core; 0.5 per mil (+/-);  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           dD	
1554.0	-278.392	
1553.0	-281.47	
1552.0	-281.731	
1551.0	-287.988	
1550.0	-294.459	
1549.0	-291.227	
1548.0	-292.421	
1547.0	-285.009	
1546.0	-290.552	
1545.0	-300.35	
1544.0	-295.451	
1543.0	-288.967	
1542.0	-284.343	
1541.0	-285.158	
1540.0	-292.616	
1539.0	-293.107	
1538.0	-288.625	
1537.0	-286.411	
1536.0	-289.587	
1535.0	-289.516	
1534.0	-277.354	
1533.0	-268.102	
1532.0	-272.845	
1531.0	-284.289	
1530.0	-287.355	
1529.0	-282.367	
1528.0	-276.52	
1527.0	-278.95	
1526.0	-280.626	
1525.0	-275.893	
1524.0	-275.485	
1523.0	-287.289	
1522.0	-288.846	
1521.0	-281.908	
1520.0	-276.105	
1519.0	-280.583	
1518.0	-287.437	
1517.0	-290.426	
1516.0	-290.304	
1515.0	-287.297	
1514.0	-280.71	
1513.0	-270.336	
1512.0	-272.657	
1511.0	-284.237	
1510.0	-291.034	
1509.0	-293.249	
1508.0	-293.502	
1507.0	-293.482	
1506.0	-293.207	
1505.0	-293.088	
1504.0	-290.231	
1503.0	-282.148	
1502.0	-277.471	
1501.0	-278.618	
1500.0	-288.053	
1499.0	-282.079	
1498.0	-264.765	
1497.0	-269.193	
1496.0	-280.512	
1495.0	-283.593	
1494.0	-285.256	
1493.0	-283.689	
1492.0	-286.974	
1491.0	-285.223	
1490.0	-277.976	
1489.0	-270.223	
1488.0	-266.83	
1487.0	-272.755	
1486.0	-286.627	
1485.0	-287.218	
1484.0	-288.818	
1483.0	-294.712	
1482.0	-289.272	
1481.0	-278.973	
1480.0	-279.833	
1479.0	-275.13	
1478.0	-269.495	
1477.0	-260.752	
1476.0	-272.828	
1475.0	-285.221	
1474.0	-297.51	
1473.0	-300.453	
1472.0	-296.337	
1471.0	-302.32	
1470.0	-304.593	
1469.0	-293.211	
1468.0	-287.163	
1467.0	-287.388	
1466.0	-289.265	
1465.0	-290.146	
1464.0	-282.31	
1463.0	-278.095	
1462.0	-286.456	
1461.0	-294.587	
1460.0	-287.953	
1459.0	-291.169	
1458.0	-301.837	
1457.0	-308.273	
1456.0	-310.48	
1455.0	-305.928	
1454.0	-296.534	
1453.0	-295.922	
1452.0	-292.585	
1451.0	-283.26	
1450.0	-286.984	
1449.0	-295.361	
1448.0	-287.289	
1447.0	-278.614	
1446.0	-290.679	
1445.0	-287.35	
1444.0	-293.793	
1443.0	-281.775	
1442.0	-273.915	
1441.0	-276.699	
1440.0	-287.772	
1439.0	-293.657	
1438.0	-296.482	
1437.0	-294.729	
1436.0	-289.525	
1435.0	-282.989	
1434.0	-285.907	
1433.0	-294.321	
1432.0	-297.848	
1431.0	-280.826	
1430.0	-273.047	
1429.0	-275.371	
1428.0	-273.695	
1427.0	-269.495	
1426.0	-270.127	
1425.0	-278.641	
1424.0	-293.468	
1423.0	-300.978	
1422.0	-294.262	
1421.0	-289.566	
1420.0	-289.238	
1419.0	-287.574	
1418.0	-282.434	
1417.0	-276.875	
1416.0	-280.93	
1415.0	-287.265	
1414.0	-285.8	
1413.0	-279.516	
1412.0	-273.886	
1411.0	-280.827	
1410.0	-285.895	
1409.0	-284.883	
1408.0	-289.347	
1407.0	-288.69	
1406.0	-278.742	
1405.0	-262.797	
1404.0	-253.402	
1403.0	-277.721	
1402.0	-297.538	
1401.0	-298.794	
1400.0	-293.71	
1399.0	-285.34	
1398.0	-277.545	
1397.0	-275.627	
1396.0	-271.837	
1395.0	-267.284	
1394.0	-267.077	
1393.0	-268.757	
1392.0	-271.671	
1391.0	-270.703	
1390.0	-269.658	
1389.0	-275.259	
1388.0	-281.074	
1387.0	-287.188	
1386.0	-286.837	
1385.0	-278.927	
1384.0	-286.708	
1383.0	-285.895	
1382.0	-289.831	
1381.0	-303.253	
1380.0	-307.85	
1379.0	-293.574	
1378.0	-288.577	
1377.0	-272.038	
1376.0	-261.803	
1375.0	-267.557	
1374.0	-286.007	
1373.0	-286.525	
1372.0	-280.793	
1371.0	-283.189	
1370.0	-283.207	
1369.0	-278.846	
1368.0	-282.93	
1367.0	-292.452	
1366.0	-296.303	
1365.0	-291.272	
1364.0	-294.316	
1363.0	-298.45	
1362.0	-290.835	
1361.0	-289.1	
1360.0	-271.79	
1359.0	-263.031	
1358.0	-269.15	
1357.0	-272.439	
1356.0	-273.055	
1355.0	-267.307	
1354.0	-271.372	
1353.0	-276.298	
1352.0	-273.245	
1351.0	-270.585	
1350.0	-272.127	
1349.0	-279.596	
1348.0	-289.26	
1347.0	-296.333	
1346.0	-295.509	
1345.0	-289.244	
1344.0	-296.07	
1343.0	-288.233	
1342.0	-311.445	
1341.0	-281.12	
1340.0	-300.251	
1339.0	-292.525	
1338.0	-292.942	
1337.0	-297.848	
1336.0	-302.089	
1335.0	-304.746	
1334.0	-299.5	
1333.0	-296.275	
1332.0	-300.0	
1331.0	-295.975	
1330.0	-293.511	
1329.0	-295.529	
1328.0	-288.442	
1327.0	-280.687	
1326.0	-280.973	
1325.0	-273.456	
1324.0	-267.507	
1323.0	-266.73	
1322.0	-274.842	
1321.0	-283.479	
1320.0	-284.564	
1319.0	-282.954	
1318.0	-280.209	
1317.0	-276.366	
1316.0	-278.991	
1315.0	-285.107	
1314.0	-286.13	
1313.0	-284.652	
1312.0	-283.141	
1311.0	-284.2	
1310.0	-291.359	
1309.0	-297.352	
1308.0	-301.208	
1307.0	-300.887	
1306.0	-295.588	
1305.0	-293.598	
1304.0	-283.67	
1303.0	-287.816	
1302.0	-288.439	
1301.0	-288.221	
1300.0	-291.293	
1299.0	-282.091	
1298.0	-275.501	
1297.0	-283.746	
1296.0	-291.857	
1295.0	-281.499	
1294.0	-285.988	
1293.0	-295.422	
1292.0	-302.109	
1291.0	-298.367	
1290.0	-298.703	
1289.0	-295.077	
1288.0	-281.823	
1287.0	-286.602	
1286.0	-287.154	
1285.0	-277.033	
1284.0	-277.067	
1283.0	-284.094	
1282.0	-293.718	
1281.0	-299.338	
1280.0	-299.858	
1279.0	-299.922	
1278.0	-296.857	
1277.0	-282.485	
1276.0	-287.109	
1275.0	-294.638	
1274.0	-294.859	
1273.0	-281.929	
1272.0	-273.792	
1271.0	-288.826	
1270.0	-290.161	
1269.0	-296.155	
1268.0	-290.138	
1267.0	-286.448	
1266.0	-295.134	
1265.0	-297.502	
1264.0	-283.989	
1263.0	-285.038	
1262.0	-297.651	
1261.0	-303.227	
1260.0	-296.597	
1259.0	-287.906	
1258.0	-280.158	
1257.0	-286.428	
1256.0	-292.704	
1255.0	-293.251	
1254.0	-297.074	
1253.0	-300.544	
1252.0	-299.748	
1251.0	-280.779	
1250.0	-275.703	
1249.0	-267.897	
1248.0	-260.059	
1247.0	-259.355	
1246.0	-263.461	
1245.0	-273.833	
1244.0	-281.878	
1243.0	-287.358	
1242.0	-287.14	
1241.0	-280.095	
1240.0	-281.734	
1239.0	-301.029	
1238.0	-308.364	
1237.0	-292.853	
1236.0	-273.589	
1235.0	-274.756	
1234.0	-269.377	
1233.0	-275.727	
1232.0	-281.627	
