dataSetName,mode,time_id,archiveType,geo_meanLon,geo_meanLat,geo_meanElev,geo_type,collectionName,tagMD5,maxYear,minYear,pub1_author,pub1_journal,pub1_pages,pub1_title,pub1_type,pub1_doi,pub1_year,geo_siteName,@context,lipdVersion,tableType,paleoData_tableName,paleoData_missingValue,paleoData_filename,pub1_publisher,investigators
Asi-CHIN049.Brauning.2013,paleoData,101.122263087,tree,96.48,31.23,3500.0,Feature,,1da14c8f2d36b00324bc23287497bc3a,1994.0,1547.0,"Cook, Edward R.;Krusic, Paul J.;Anchukaitis, Kevin J.;Buckley, Brendan M.;Nakatsuka, Takeshi;Sano, Masak",Climate Dynamics,2957-2972,Tree-ring reconstructed summer temperature anomalies for temperate East Asia since 800 C.E.,article,10.1007/s00382-012-1611-x,2013,CHIN049,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-CHIN049.Brauning.2013.paleo0measurement0.csv,,
Asi-KYRG012.Solomina.2013,paleoData,101.122263087,tree,79.05,42.2,4000.0,Feature,,358797124dc162ce3e81e8ed06b55f7f,2005.0,1450.0,"Cook, Edward R.;Krusic, Paul J.;Anchukaitis, Kevin J.;Buckley, Brendan M.;Nakatsuka, Takeshi;Sano, Masak",Climate Dynamics,2957-2972,Tree-ring reconstructed summer temperature anomalies for temperate East Asia since 800 C.E.,article,10.1007/s00382-012-1611-x,2013,KYRG012,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-KYRG012.Solomina.2013.paleo0measurement0.csv,,
Asi-KYRG012.Solomina.2013,paleoData,101.122263087,tree,79.05,42.2,4000.0,Feature,,358797124dc162ce3e81e8ed06b55f7f,2005.0,1450.0,"Cook, Edward R.;Krusic, Paul J.;Anchukaitis, Kevin J.;Buckley, Brendan M.;Nakatsuka, Takeshi;Sano, Masak",Climate Dynamics,2957-2972,Tree-ring reconstructed summer temperature anomalies for temperate East Asia since 800 C.E.,article,10.1007/s00382-012-1611-x,2013,KYRG012,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-KYRG012.Solomina.2013.paleo0measurement0.csv,,
Asi-CHIN039.Fan.2013,paleoData,101.122263087,tree,99.02,28.03,3400.0,Feature,,7e759b23244031089e108190ec4a25d8,2005.0,1489.0,"Cook, Edward R.;Krusic, Paul J.;Anchukaitis, Kevin J.;Buckley, Brendan M.;Nakatsuka, Takeshi;Sano, Masak",Climate Dynamics,2957-2972,Tree-ring reconstructed summer temperature anomalies for temperate East Asia since 800 C.E.,article,10.1007/s00382-012-1611-x,2013,CHIN039,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-CHIN039.Fan.2013.paleo0measurement0.csv,,
Asi-CHIN039.Fan.2013,paleoData,101.122263087,tree,99.02,28.03,3400.0,Feature,,7e759b23244031089e108190ec4a25d8,2005.0,1489.0,"Cook, Edward R.;Krusic, Paul J.;Anchukaitis, Kevin J.;Buckley, Brendan M.;Nakatsuka, Takeshi;Sano, Masak",Climate Dynamics,2957-2972,Tree-ring reconstructed summer temperature anomalies for temperate East Asia since 800 C.E.,article,10.1007/s00382-012-1611-x,2013,CHIN039,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-CHIN039.Fan.2013.paleo0measurement0.csv,,
Asi-HBLXJP.PAGES2k.2013,paleoData,101.122263087,tree,100.82,34.78,4000.0,Feature,,741842d016c05f08a9a1f2c7e83675c9,2002.0,1520.0,"Cook, Edward R.;Krusic, Paul J.;Anchukaitis, Kevin J.;Buckley, Brendan M.;Nakatsuka, Takeshi;Sano, Masak",Climate Dynamics,2957-2972,Tree-ring reconstructed summer temperature anomalies for temperate East Asia since 800 C.E.,article,10.1007/s00382-012-1611-x,2013,HBLXJP,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-HBLXJP.PAGES2k.2013.paleo0measurement0.csv,,
Asi-HBLXJP.PAGES2k.2013,paleoData,101.122263087,tree,100.82,34.78,4000.0,Feature,,741842d016c05f08a9a1f2c7e83675c9,2002.0,1520.0,"Cook, Edward R.;Krusic, Paul J.;Anchukaitis, Kevin J.;Buckley, Brendan M.;Nakatsuka, Takeshi;Sano, Masak",Climate Dynamics,2957-2972,Tree-ring reconstructed summer temperature anomalies for temperate East Asia since 800 C.E.,article,10.1007/s00382-012-1611-x,2013,HBLXJP,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-HBLXJP.PAGES2k.2013.paleo0measurement0.csv,,
Asi-CHIN062.Shao.2013,paleoData,101.122263087,tree,98.67,37.03,3700.0,Feature,,f6f4c13b2010672bf6d6f4f86fa57051,2001.0,845.0,"Cook, Edward R.;Krusic, Paul J.;Anchukaitis, Kevin J.;Buckley, Brendan M.;Nakatsuka, Takeshi;Sano, Masak",Climate Dynamics,2957-2972,Tree-ring reconstructed summer temperature anomalies for temperate East Asia since 800 C.E.,article,10.1007/s00382-012-1611-x,2013,CHIN062,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-CHIN062.Shao.2013.paleo0measurement0.csv,,
Asi-CHIN062.Shao.2013,paleoData,101.122263087,tree,98.67,37.03,3700.0,Feature,,f6f4c13b2010672bf6d6f4f86fa57051,2001.0,845.0,"Cook, Edward R.;Krusic, Paul J.;Anchukaitis, Kevin J.;Buckley, Brendan M.;Nakatsuka, Takeshi;Sano, Masak",Climate Dynamics,2957-2972,Tree-ring reconstructed summer temperature anomalies for temperate East Asia since 800 C.E.,article,10.1007/s00382-012-1611-x,2013,CHIN062,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-CHIN062.Shao.2013.paleo0measurement0.csv,,
Asi-CHIN042.Brauning.2013,paleoData,101.122263087,tree,98.87,31.95,3300.0,Feature,,93ca3c5045534c5f0aeffd1b3e30d367,1996.0,1519.0,"Cook, Edward R.;Krusic, Paul J.;Anchukaitis, Kevin J.;Buckley, Brendan M.;Nakatsuka, Takeshi;Sano, Masak",Climate Dynamics,2957-2972,Tree-ring reconstructed summer temperature anomalies for temperate East Asia since 800 C.E.,article,10.1007/s00382-012-1611-x,2013,CHIN042,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-CHIN042.Brauning.2013.paleo0measurement0.csv,,
Asi-CHIN042.Brauning.2013,paleoData,101.122263087,tree,98.87,31.95,3300.0,Feature,,93ca3c5045534c5f0aeffd1b3e30d367,1996.0,1519.0,"Cook, Edward R.;Krusic, Paul J.;Anchukaitis, Kevin J.;Buckley, Brendan M.;Nakatsuka, Takeshi;Sano, Masak",Climate Dynamics,2957-2972,Tree-ring reconstructed summer temperature anomalies for temperate East Asia since 800 C.E.,article,10.1007/s00382-012-1611-x,2013,CHIN042,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-CHIN042.Brauning.2013.paleo0measurement0.csv,,
Asi-NEPA030.Krusic.2013,paleoData,101.122263087,tree,87.27,27.78,3200.0,Feature,,df1d5b929c84cb3a1a82fe26b21daac0,1996.0,856.0,"Cook, Edward R.;Krusic, Paul J.;Anchukaitis, Kevin J.;Buckley, Brendan M.;Nakatsuka, Takeshi;Sano, Masak",Climate Dynamics,2957-2972,Tree-ring reconstructed summer temperature anomalies for temperate East Asia since 800 C.E.,article,10.1007/s00382-012-1611-x,2013,NEPA030,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-NEPA030.Krusic.2013.paleo0measurement0.csv,,
Asi-NEPA030.Krusic.2013,paleoData,101.122263087,tree,87.27,27.78,3200.0,Feature,,df1d5b929c84cb3a1a82fe26b21daac0,1996.0,856.0,"Cook, Edward R.;Krusic, Paul J.;Anchukaitis, Kevin J.;Buckley, Brendan M.;Nakatsuka, Takeshi;Sano, Masak",Climate Dynamics,2957-2972,Tree-ring reconstructed summer temperature anomalies for temperate East Asia since 800 C.E.,article,10.1007/s00382-012-1611-x,2013,NEPA030,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-NEPA030.Krusic.2013.paleo0measurement0.csv,,
Asi-CHIN038.Fan.2013,paleoData,101.122263087,tree,99.28,27.58,4100.0,Feature,,ed2883a9f2c53da5acef7bc7d853c34a,2005.0,1542.0,"Cook, Edward R.;Krusic, Paul J.;Anchukaitis, Kevin J.;Buckley, Brendan M.;Nakatsuka, Takeshi;Sano, Masak",Climate Dynamics,2957-2972,Tree-ring reconstructed summer temperature anomalies for temperate East Asia since 800 C.E.,article,10.1007/s00382-012-1611-x,2013,CHIN038,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-CHIN038.Fan.2013.paleo0measurement0.csv,,
Asi-CHIN038.Fan.2013,paleoData,101.122263087,tree,99.28,27.58,4100.0,Feature,,ed2883a9f2c53da5acef7bc7d853c34a,2005.0,1542.0,"Cook, Edward R.;Krusic, Paul J.;Anchukaitis, Kevin J.;Buckley, Brendan M.;Nakatsuka, Takeshi;Sano, Masak",Climate Dynamics,2957-2972,Tree-ring reconstructed summer temperature anomalies for temperate East Asia since 800 C.E.,article,10.1007/s00382-012-1611-x,2013,CHIN038,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-CHIN038.Fan.2013.paleo0measurement0.csv,,
Asi-VIET001.Buckley.2010,paleoData,101.122263087,tree,108.73,12.22,3900.0,Feature,,756377e51d3884429602633059dbb698,2008.0,1030.0,"Buckley, B. M.;Anchukaitis, K. J.;Penny, D.;Fletcher, R.;Cook, E. R.;Sano, M.;Nam, L. C.;Wichienkeeo, A.;Minh, T. T.;Hong, T. M",Proceedings of the National Academy of Sciences,6748-6752,"Climate as a contributing factor in the demise of Angkor, Cambodia",article,10.1073/pnas.0910827107,2010,VIET001,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-VIET001.Buckley.2010.paleo0measurement0.csv,Proceedings of the National Academy of Sciences,
Asi-VIET001.Buckley.2010,paleoData,101.122263087,tree,108.73,12.22,3900.0,Feature,,756377e51d3884429602633059dbb698,2008.0,1030.0,"Buckley, B. M.;Anchukaitis, K. J.;Penny, D.;Fletcher, R.;Cook, E. R.;Sano, M.;Nam, L. C.;Wichienkeeo, A.;Minh, T. T.;Hong, T. M",Proceedings of the National Academy of Sciences,6748-6752,"Climate as a contributing factor in the demise of Angkor, Cambodia",article,10.1073/pnas.0910827107,2010,VIET001,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-VIET001.Buckley.2010.paleo0measurement0.csv,Proceedings of the National Academy of Sciences,
Asi-KYRG005.Esper.2007,paleoData,101.122263087,tree,72.58,40.17,3950.0,Feature,,aeb416346eae916d3ec156b99c7104e6,1995.0,1316.0,"Esper, Jan;Frank, David C.;Wilson, Robert J. S.;Büntgen, Ulf;Treydte, Kersti",Trees,141-150,Uniform growth trends among central Asian low- and high-elevation juniper tree sites,article,10.1007/s00468-006-0104-0,2007,KYRG005,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-KYRG005.Esper.2007.paleo0measurement0.csv,Springer Science + Business Media,
Asi-KYRG005.Esper.2007,paleoData,101.122263087,tree,72.58,40.17,3950.0,Feature,,aeb416346eae916d3ec156b99c7104e6,1995.0,1316.0,"Esper, Jan;Frank, David C.;Wilson, Robert J. S.;Büntgen, Ulf;Treydte, Kersti",Trees,141-150,Uniform growth trends among central Asian low- and high-elevation juniper tree sites,article,10.1007/s00468-006-0104-0,2007,KYRG005,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-KYRG005.Esper.2007.paleo0measurement0.csv,Springer Science + Business Media,
Asi-CHIN041.Fan.2013,paleoData,101.122263087,tree,98.4,27.88,2900.0,Feature,,cb363af71513298a589e3ca307210365,2005.0,1530.0,"Cook, Edward R.;Krusic, Paul J.;Anchukaitis, Kevin J.;Buckley, Brendan M.;Nakatsuka, Takeshi;Sano, Masak",Climate Dynamics,2957-2972,Tree-ring reconstructed summer temperature anomalies for temperate East Asia since 800 C.E.,article,10.1007/s00382-012-1611-x,2013,CHIN041,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-CHIN041.Fan.2013.paleo0measurement0.csv,,
Asi-CHIN041.Fan.2013,paleoData,101.122263087,tree,98.4,27.88,2900.0,Feature,,cb363af71513298a589e3ca307210365,2005.0,1530.0,"Cook, Edward R.;Krusic, Paul J.;Anchukaitis, Kevin J.;Buckley, Brendan M.;Nakatsuka, Takeshi;Sano, Masak",Climate Dynamics,2957-2972,Tree-ring reconstructed summer temperature anomalies for temperate East Asia since 800 C.E.,article,10.1007/s00382-012-1611-x,2013,CHIN041,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-CHIN041.Fan.2013.paleo0measurement0.csv,,
Asi-BT001.Cook.2010,paleoData,101.122263087,tree,90.65,27.58,2150.0,Feature,,d05b4841bdd83d16e62f82224c2755c2,2003.0,1294.0,"Cook, E. R.;Anchukaitis, K. J.;Buckley, B. M.;DArrigo, R. D.;Jacoby, G. C.;Wright, W. E",Science,486-489,Asian Monsoon Failure and Megadrought During the Last Millennium,journal-article,10.1126/science.1185188,2010,BT001,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-BT001.Cook.2010.paleo0measurement0.csv,American Association for the Advancement of Science (AAAS),
Asi-BT001.Cook.2010,paleoData,101.122263087,tree,90.65,27.58,2150.0,Feature,,d05b4841bdd83d16e62f82224c2755c2,2003.0,1294.0,"Cook, E. R.;Anchukaitis, K. J.;Buckley, B. M.;DArrigo, R. D.;Jacoby, G. C.;Wright, W. E",Science,486-489,Asian Monsoon Failure and Megadrought During the Last Millennium,journal-article,10.1126/science.1185188,2010,BT001,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-BT001.Cook.2010.paleo0measurement0.csv,American Association for the Advancement of Science (AAAS),
Asi-HRPCSM.PAGES2k.2013,paleoData,101.122263087,tree,74.88,35.88,3100.0,Feature,,4fb57ab89662c3f38d3f339f1f1c76f1,2009.0,1467.0,"Cook, Edward R.;Krusic, Paul J.;Anchukaitis, Kevin J.;Buckley, Brendan M.;Nakatsuka, Takeshi;Sano, Masak",Climate Dynamics,2957-2972,Tree-ring reconstructed summer temperature anomalies for temperate East Asia since 800 C.E.,article,10.1007/s00382-012-1611-x,2013,HRPCSM,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-HRPCSM.PAGES2k.2013.paleo0measurement0.csv,,
Asi-HRPCSM.PAGES2k.2013,paleoData,101.122263087,tree,74.88,35.88,3100.0,Feature,,4fb57ab89662c3f38d3f339f1f1c76f1,2009.0,1467.0,"Cook, Edward R.;Krusic, Paul J.;Anchukaitis, Kevin J.;Buckley, Brendan M.;Nakatsuka, Takeshi;Sano, Masak",Climate Dynamics,2957-2972,Tree-ring reconstructed summer temperature anomalies for temperate East Asia since 800 C.E.,article,10.1007/s00382-012-1611-x,2013,HRPCSM,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-HRPCSM.PAGES2k.2013.paleo0measurement0.csv,,
Asi-PAKI010.Esper.2007,paleoData,101.122263087,tree,75.08,36.58,3740.0,Feature,,c9a0641b3db4848abcdddf1e2afc14d0,1990.0,968.0,"Esper, Jan;Frank, David C.;Wilson, Robert J. S.;Büntgen, Ulf;Treydte, Kersti",Trees,141-150,Uniform growth trends among central Asian low- and high-elevation juniper tree sites,article,10.1007/s00468-006-0104-0,2007,PAKI010,context.jsonld,1.3,meas,paleo0measurement0,nan,Asi-PAKI010.Esper.2007.paleo0measurement0.csv,Springer Science + Business Media,
