model_label,testing_period_start,testing_period_end,L1_neurons,L2_neurons,L1_activation,dropout,L1_regularisation,KGE,linear_correlation_coefficient
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1942_1952,1942,1951,100,10,linear,0.2,0.001,-0.90220665654612,0.11713581113846491
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1946_1956,1946,1955,100,20,relu,0.2,0.01,-0.15429187774865016,0.021515717512674257
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1946_1956,1946,1955,100,20,relu,0.0,0.05,-2.591172608995236,0.09346531160581273
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1946_1956,1946,1955,100,20,linear,0.2,0.01,-0.896573499319667,0.07111539211322888
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1946_1956,1946,1955,20,5,relu,0.1,0.01,-0.2581740030450008,0.3055772980180486
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1946_1956,1946,1955,50,5,relu,0.2,0.01,-1.3453900571504316,0.3603995641617145
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1948_1958,1948,1957,100,20,relu,0.2,0.01,-3.4650559253544895,0.05610887461579318
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1948_1958,1948,1957,100,20,linear,0.2,0.01,-1.3000907948462594,0.14415560278098066
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1948_1958,1948,1957,20,5,relu,0.1,0.01,-0.9410111015931044,0.20763259511592233
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1948_1958,1948,1957,100,10,linear,0.2,0.001,-0.6143190187896468,0.06075681939295868
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1948_1958,1948,1957,50,5,relu,0.2,0.01,-2.2378334690695594,0.2912696925981371
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1950_1960,1950,1959,100,20,relu,0.2,0.01,0.24370922908213266,0.3598376162393809
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1950_1960,1950,1959,100,20,relu,0.0,0.05,-0.7673482976159478,0.1935464082006283
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1950_1960,1950,1959,100,20,linear,0.2,0.01,-0.0013074181208547753,0.36389628428383114
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1950_1960,1950,1959,20,5,relu,0.1,0.01,-1.125946247263308,0.47436782715644144
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1950_1960,1950,1959,100,10,linear,0.2,0.001,-2.9127908936136055,0.4241575762973402
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1950_1960,1950,1959,50,5,linear,0.2,0.01,-0.8939231774459178,0.25336610673208204
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1950_1960,1950,1959,50,5,relu,0.2,0.01,-0.8690923700975648,0.31033213445636376
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1952_1962,1952,1961,20,5,relu,0.1,0.01,0.029730416060634646,0.18774519179015803
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1952_1962,1952,1961,50,5,linear,0.2,0.01,-0.10462888179925511,0.020123170223340637
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1952_1962,1952,1961,50,5,relu,0.2,0.01,-0.07266033979705555,0.18502458167924224
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1954_1964,1954,1963,100,20,relu,0.2,0.01,-0.0849189314604959,0.28633780620154786
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1954_1964,1954,1963,100,20,relu,0.0,0.05,-0.30382702476387213,0.21243842484422226
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1954_1964,1954,1963,20,5,relu,0.1,0.01,-0.027055632009345354,0.19015264878863988
